file,line,type,commit,author,date,time,timezone,datetime,depth,length
src\app.html,3,html,5d2bbddb,KaikyBraga,2025-03-20,12:53:37,-03:00,2025-03-20T12:53:37-03:00,0,4
src\app.html,4,html,5d2bbddb,KaikyBraga,2025-03-20,12:53:37,-03:00,2025-03-20T12:53:37-03:00,0,19
src\app.html,5,html,5d2bbddb,KaikyBraga,2025-03-20,12:53:37,-03:00,2025-03-20T12:53:37-03:00,0,22
src\app.html,6,html,5d2bbddb,KaikyBraga,2025-03-20,12:53:37,-03:00,2025-03-20T12:53:37-03:00,0,55
src\app.html,7,html,5d2bbddb,KaikyBraga,2025-03-20,12:53:37,-03:00,2025-03-20T12:53:37-03:00,0,59
src\app.html,8,html,5d2bbddb,KaikyBraga,2025-03-20,12:53:37,-03:00,2025-03-20T12:53:37-03:00,0,64
src\app.html,9,html,5d2bbddb,KaikyBraga,2025-03-20,12:53:37,-03:00,2025-03-20T12:53:37-03:00,0,51
src\app.html,10,html,5d2bbddb,KaikyBraga,2025-03-20,12:53:37,-03:00,2025-03-20T12:53:37-03:00,0,14
src\app.html,11,html,5d2bbddb,KaikyBraga,2025-03-20,12:53:37,-03:00,2025-03-20T12:53:37-03:00,0,5
src\app.html,12,html,5d2bbddb,KaikyBraga,2025-03-20,12:53:37,-03:00,2025-03-20T12:53:37-03:00,0,40
src\app.html,13,html,5d2bbddb,KaikyBraga,2025-03-20,12:53:37,-03:00,2025-03-20T12:53:37-03:00,0,51
src\app.html,14,html,5d2bbddb,KaikyBraga,2025-03-20,12:53:37,-03:00,2025-03-20T12:53:37-03:00,0,5
src\app.html,15,html,5d2bbddb,KaikyBraga,2025-03-20,12:53:37,-03:00,2025-03-20T12:53:37-03:00,0,5
src\routes\+page.svelte,1,svelte,5d2bbddb,KaikyBraga,2025-03-20,12:53:37,-03:00,2025-03-20T12:53:37-03:00,0,18
src\routes\+page.svelte,2,svelte,5d2bbddb,KaikyBraga,2025-03-20,12:53:37,-03:00,2025-03-20T12:53:37-03:00,0,0
src\routes\+page.svelte,3,svelte,5d2bbddb,KaikyBraga,2025-03-20,12:53:37,-03:00,2025-03-20T12:53:37-03:00,0,241
src\routes\+page.svelte,4,svelte,5d2bbddb,KaikyBraga,2025-03-20,12:53:37,-03:00,2025-03-20T12:53:37-03:00,0,0
src\routes\+page.svelte,5,svelte,6d18c934,KaikyBraga,2025-03-20,13:00:30,-03:00,2025-03-20T13:00:30-03:00,0,67
src\routes\+layout.svelte,1,svelte,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,6
src\routes\+layout.svelte,2,js,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,32
src\routes\+layout.svelte,3,js,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,33
src\routes\+layout.svelte,4,js,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,0
src\routes\+layout.svelte,5,js,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,11
src\routes\+layout.svelte,6,js,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,2,26
src\routes\+layout.svelte,7,js,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,2,38
